Area,Problema,Solucion,Prioridad
Ruidos,Golpes,Analizar el motivo de origen.,Media
Ruidos,Televisión,Dialogar.,Baja
Ruidos,Televisión,Observar los horarios permitidos para ruidos.,Baja
Ruidos,Radio,Observar los horarios permitidos para ruidos.,Baja
Ruidos,Carros,Tomar datos de la placa y explicar motivo.,Baja
Ruidos,Motos,Tomar datos de la placa y explicar motivo.,Baja
Ruidos,Perros,Analizar la situación y el tiempo.,Baja
Ruidos,Pájaro,Analizar la situación y el tiempo.,Baja
Ruidos,Gatos,Analizar la situación y el tiempo.,Baja
Jardín,Grama,Recortar la grama.,Baja
Jardín,Grama,Regarla.,Baja
Jardín,Grama,Siembra más grama.,Baja
Jardín,Grama,Revisa si tiene plagas.,Baja
Jardín,Césped,Cortar si está muy alto.,Baja
Jardín,Césped,Apoda el césped.,Baja
Jardín,Césped,Utiliza una escoba de jardín para limpiarlo.,Baja
Jardín,Corte,Cortar parejo.,Baja
Jardín,Corte,Cortar con cuidado.,Baja
Jardín,Árbol,Revise si hay ramas secas.,Baja
Jardín,Árbol,Recorte el árbol.,Baja
Jardín,Flores,Riega las flores.,Baja
Jardín,Flores,Limpia.,Baja
Jardín,Flores,Quita ramas secas.,Baja
Jardín,Piedrín,Barre con una escoba.,Baja
Jardín,Piedrín,Acomoda.,Baja
Jardín,Piedrín,Mezcla con tierra.,Baja
Jardín,Piedrín,Rellena zonas vacías.,Baja
Jardín,Arriates,Quitar la maleza.,Baja
Jardín,Arriates,Dejar el borde limpio.,Baja
Jardín,Arriates,Rellena con tierra.,Baja
Jardín,Riego,Riega en la mañana.,Baja
Jardín,Riego,Riega en la tarde.,Baja
Jardín,Riego,Asegúrate de no echar mucha agua.,Baja
Jardín,Limpieza,Recoge hojas.,Baja
Jardín,Limpieza,Recoge basura.,Baja
Jardín,Limpieza,Barre.,Baja
Jardín,Siembra,Escoge buena tierra.,Baja
Jardín,Siembra,Siembra en época correcta.,Baja
Estacionamiento,Carro,Verifica si el carro está bien estacionado y no obstruye entradas.,Media
Estacionamiento,Carro,Si está mal ubicado, busca al propietario o llama al control de tránsito.,Media
Estacionamiento,Moto,Asegúrate que la moto esté dentro del área designada.,Media
Estacionamiento,Moto,Evita estacionarla en zonas peatonales o frente a portones.,Media
Estacionamiento,Mal estacionado,Toma evidencia (foto) si es necesario.,Media
Estacionamiento,Mal estacionado,Contacta al encargado del área o reporta a la autoridad correspondiente.,Media
Estacionamiento,Banqueta,No bloquees el paso peatonal.,Media
Estacionamiento,Banqueta,Estaciona en áreas autorizadas, respetando rampas y accesos.,Media
Estacionamiento,Portón,No estaciones frente a portones, podrías impedir el acceso o salida.,Alta
Estacionamiento,Portón,Busca señales de "No estacionar" cerca de portones.,Alta
Estacionamiento,Puerta,Deja siempre libre el acceso de puertas principales y de emergencia.,Alta
Estacionamiento,Puerta,Si ves un vehículo bloqueando, repórtalo de forma respetuosa.,Alta
Estacionamiento,Casa,Respeta los espacios de estacionamiento frente a viviendas.,Media
Estacionamiento,Casa,Evita estacionarte sin autorización en entradas de casas.,Media
Estacionamiento,Parqueo,Utilizar siempre los espacios asignados.,Baja
Estacionamiento,Parqueo,Seguir las señales y demarcaciones del área de parqueo.,Baja
Estacionamiento,Equivocado,Si estacionaste en un lugar incorrecto, mueve el vehículo lo antes posible.,Media
Estacionamiento,Equivocado,Verifica siempre las señales antes de estacionarte.,Media
Estacionamiento,En frente,Asegúrate de no bloquear cocheras, entradas o salidas de vehículos.,Media
Estacionamiento,En frente,Mantén distancia adecuada frente a accesos importantes.,Media
Mantenimiento,Remodelación,Asegure de que un experto en el área la realice.,Baja
Mantenimiento,Remodelación,Realícela en horarios hábiles.,Baja
Mantenimiento,Polvo,Limpiar el área correctamente.,Baja
Mantenimiento,Polvo,Mantener el área limpia para no tener inconvenientes de polvo.,Baja
Mantenimiento,Suciedad,Limpiar correctamente el área.,Baja
Mantenimiento,Ripio,Asegúrese de dejarlo en un lugar donde no moleste.,Baja
Mantenimiento,Ripio,El plazo máximo para tener ripio es de una semana.,Baja
Mantenimiento,Ripio,Realice el proceso de extracción de ripio correctamente.,Baja
Mantenimiento,Drenaje,Vierta soda cáustica en el lugar.,Media
Mantenimiento,Drenaje,Vierta agua caliente sobre la soda cáustica a una distancia media o lejana pero no cercana.,Media
Mantenimiento,Drenaje,Llame a alguien de mantenimiento.,Media
Mantenimiento,Baño,No utilizar el baño si esté está tapado.,Media
Mantenimiento,Baño,Ver el origen del problema y buscar una solución.,Media
Mantenimiento,Lavamanos,No utilizarlo si este está tapado.,Media
Mantenimiento,Lavamanos,Analizar el origen del problema.,Media
Mantenimiento,Área compartida,Describa correctamente el problema.,Baja
Mantenimiento,Área compartida,Indique que su problema no ha sido resuelto para poder solucionarlo.,Baja
Mantenimiento,Puerta,Vierta aceite en las bisagras para no tener ruido.,Baja
Mantenimiento,Puerta,Vierta aceite la chapa para que este entre más fácilmente, posteriormente introduzca la llave varias veces y al terminarlo de hacer limpie la parte de la chapa y la llave que utilizó.,Baja
Mantenimiento,Pintura,Describa el área que desea pintar.,Baja
Mantenimiento,Pintura,Indique que su problema no ha sido resuelto para poder ir a pintar.,Baja
Mantenimiento,Portón,Si tiene problema con las bisagras o pasa manos vierta aceite en ellos.,Baja
Mantenimiento,Portón,Si tiene rodos vea el estado de ellos.,Baja
Mantenimiento,Portón,Vierta aceite la chapa para que este entre más fácilmente, posteriormente introduzca la llave varias veces y al terminarlo de hacer limpie la parte de la chapa y la llave que utilizó.,Baja
Mantenimiento,Piso,Remueva la parte quebrada.,Media
Mantenimiento,Piso,Contrate a un reparador de pisos.,Media
Mantenimiento,Humedad,Vea las zonas afectadas.,Media
Mantenimiento,Humedad,Ver si un tubo de agua no está dañado o tiene fuga.,Media
Mantenimiento,Humedad,Si la humedad es fuerte evite tener objetos cerca del área húmeda ya que los puede dañar.,Media
Mantenimiento,Humedad,Si desea comprar y aplicar impermeabilizante en el techo, observe el área a pintar y observe los años de durabilidad y color del impermeabilizante y a la vez compre pegamento sellador de grietas.,Media
Mantenimiento,Humedad,Verifique que el día esté soleado y el área no esté húmeda por encima.,Media
Mantenimiento,Humedad,Para la aplicación del sellador de grietas necesita primero barrer el área y posteriormente lavarla y esperar que se seque, aplique el sellador de grietas y deje que este seque el tiempo indicado del fabricante.,Media
Mantenimiento,Humedad,Para aplicar la primera capa impermeabilizante puede realizarla de forma vertical u horizontal y deje que esta seque por un tiempo indicado por el fabricante.,Media
Mantenimiento,Humedad,Para la segunda capa de impermeabilizante aplíquelo opuesta a la forma que aplicó la primera capa y déjelo secar.,Media
Mantenimiento,Pared,Si desea rellenar hoyos pequeños utilice yeso.,Baja
Mantenimiento,Pared,Tener prevención con los objetos cercanos al problema.,Baja
Mantenimiento,Techo,Evitar arreglar el problema.,Media
Mantenimiento,Techo,Tener prevención con los objetos cercanos al problema.,Media
Mantenimiento,Terraza,Indicar de forma precisa el motivo.,Baja
Mantenimiento,Terraza,Indicar la opción NO en la pregunta ha resuelto su problema conforme a las indicaciones.,Baja
Mantenimiento,Ventanas,Si tiene problemas en las bisagras aplicar aceite.,Baja
Mantenimiento,Vidrios,Indicar de forma precisa el motivo.,Baja
Mantenimiento,Vidrios,Indicar la opción NO en la pregunta ha resuelto su problema conforme a las indicaciones.,Baja
Limpieza,Banqueta,Eche agua en la banqueta.,Baja
Limpieza,Banqueta,Riegue jabón en polvo en el área mojada de la banqueta.,Baja
Limpieza,Banqueta,Utilice la escoba para limpiar.,Baja
Limpieza,Banqueta,Eche agua para remover el jabón.,Baja
Limpieza,Sucio,Recoja la basura deposite en un bote de basura.,Baja
Limpieza,Sucio,Limpie con agua jabón.,Baja
Limpieza,Barrer,Póngase una mascarilla.,Baja
Limpieza,Barrer,Utilice una escoba para barrer el área sucia.,Baja
Limpieza,Barrer,Recoja el polvo o recibos con la pala.,Baja
Limpieza,Barrer,Vierta los recibos en el bote de basura.,Baja
Limpieza,Basura,Recoja la basura y deposítela en un bote de basura.,Baja
Limpieza,Basura,Verifique los horarios de extracción de basura.,Baja
Limpieza,Basura,Utilice un bote de basura con tapadera para evitar que las bolsas se rompan.,Baja
Limpieza,Drenaje,No utilice el área afectada.,Media
Limpieza,Drenaje,Vierta soda cáustica en el área afectada y posteriormente eche agua caliente encima de la soda cáustica a una distancia razonable pero no cerca.,Media
Limpieza,Área compartida,Utilice los utensilios de limpieza de la bodega para realizar la limpieza, posteriormente devolverlos a su lugar.,Baja
Limpieza,Vidrios,Recoja con una escoba y pala los fragmentos de vidrio del área.,Media
Limpieza,Vidrios,Evite tocar con las manos los fragmentos de vidrio.,Media
Limpieza,Ventana,Recoja con una escoba y pala los fragmentos de vidrio del área.,Media
Limpieza,Ventana,Evite estar cerca del área.,Media
Limpieza,Ventana,Trate de cubrir con nylon el área del vidrio quebrado teniendo mucho cuidado.,Media
Limpieza,Baños,Utilice los utensilios de limpieza para realizar la limpieza.,Baja
Limpieza,Baños,Si encuentra papel u objetos trate de sacarlos protegiéndose las manos con guantes.,Baja
